Program,Notes,Frequencies
"Abdominal Inflammation",,2720|2489|2170|2000|1865|1800|1600|1550|880|832|802|787|776|727|660|465|450|444|440|428|380|250|146|125|95|72|20|1.2
"Abdominal Pain",,10000|3000|95|3
"Abscesses","Also use Staphylococcus aureus and see Listeriose",2720|2170|1865|1550|880|802|787|727|500|444|190
"Abscesses 1",,2720|2170|1865|1550|880|802|787|760|727|690|660|500|465|450|444|428|190
"Abscesses Secondary",,1550|802|760|660|465|450|444|428
"Acidosis","Hyperacidity. Also use a calcium magnesium supplement long term",10000|880|802|787|776|727|146|20
"Acne","Run 564 for 6 min",2720|2170|1800|1600|1550|1552|1500|802|880|778|787|760|741|727|660|564|465|450|444|428
"Aconite","Used to stimulate lymphocyte production",3347|5611|2791
"Actinobacillus","A potentially pathogenic bacteria found in mammals, 773*, 776*, 778*, 822*",488|565|672|674|678|773|766|768|776|777|778|822|885|887|7877|9687|42664|42666|46668|46787
"Actinomyces Israelii","A bacterium normally found in the bowel and throat that can cause deep, pus filled holes in tissue. Also see Streptothrix, 222*, 262*, 488*, 567*, 7880*",23|222|262|2154|465|488|567|7880|10000|787|747|727|20|660|690|160|73|1.1
"Actinomycosis","Use Streptothrix",
"Acupuncture Disturbance Field","Scar focus",5.9
"Acute Pain",,3000|95|10000|1550|802|880|787|727|690|666
"Adenoids",,1550|802|880|787|776|727|444|20|428|660|2720|2170|14|333|523|768|786|428|1865|590|690|780|807|810|1570|2000
"Adenoma Cervical","Epithelial tumor of the cervix that can be either benign or malignant. Also see Cancer.",433
"Adenovirus","A virus that can cause colds/flu and infections in the lungs, stomach, and intestines",333|523|666|786|768|959|962
"Adenovirus 36","AD-36 may be related to weight gain in some cases",8875|6140|5859|5797|5219
"Adenovirus Comp",,10000|7767|7762|7702|7009|7001|6989|5000|4868|2720|2050|1500|1395|1062|1060|1034|1009|969|968|962|959|960|952|951|942|880|1550|802|787|768|728|690|660|555|523|522|1865|444|333|300|180|160|125|95|72|60|48|26|20
"Adenovirus HC",,28729.05|16628.88|18471.00|18670.15|19566.32|1407.93|827.90|919.62|929.53|974.15
"Adhesions",,2720|2170|1550|802|880|787|776|760|727|660|190
"Adnexitis","Swelling of the ovaries or Fallopian tubes",440|441|522|572|3343|3833|5312
"Adrenal Stimulant",,10|20|2250
"Adynamia Geriatric","Fatigue of age",410|220|100|60|27.5
"Aflatoxin","A liver-damaging toxin produced by certain food molds",344|510|943|474|476|568
"Aflatoxin HC",,438.74|466.01|9359.97|8812.31
"African Trypanosomiasis",,656|988|780
"Agyfla HC",,3534.88|175.99
"AIDS 1","Not for use in U.S. see HIV",2489|465|727|787|880|1550|1500|1.2|31000|31750|34750
"AIDS 2",,1.44|1550|1500|249|418|727|787|880|2489|3100|3175|3475
"AIDS Kaposis Sarcoma","Use Cancer_Kaposis_sarcoma",
"AIDS Secondary","Use 1113 for 12 min, 2128 for 16 min, 6121 for 21 min, 33 for 1 min",1113|2128|6121|33
"Akathisia",,230|7.83|3
"Alcoholism",,10000
"Allergy","Also see Pertussis",10000|7344|5000|1550|1234|740|880|835|787|727|500|330|160|30|3
"Allergy 1",,10000|1865|880|787|727|690|660|555|522|473|444|330|290|146|125|95|72|33|20|3
"Allergy Pollen TR","Pulse 64 75|converge 2 0.03125|dwell 500",116113|119061.03|119441.8
"Alopecia","Loss of hair",10000|30000|5000|2720|2170|1552|880|800|787|727|465|330|146|95|28|20|3
"Alpha Streptococcus HC",,18919.09|18670.15|941.93|929.53
"ALS 1","Amyotropic lateral sclerosis, possibly caused by mycoplasma fermentans. Also use MS and see Echo virus, Coxsackie, Herpes 6|Bartonella, and Lyme freqs. Use 2900 for 30 min",2900|864|790|690|610|470|484|986|644|254
